Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Лукаш,Андрій,Михайлович,Чоловіча,1957-11-23,Дантист,село Куп'янськ,"парк 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 9, Сквира, 19885",+380 (57) 723-36-68,rchumak@example.com
Батіг,Наталія,Вікторівна,Жіноча,1972-05-31,Гірник,село Сорокине,"площа Корнюшина, буд. 53, Васильків, 41415",+380 88 838 80 63,bohodarderevianko@example.org
Оніщук,Євген,Михайлович,Чоловіча,1949-03-27,Стоматолог,село Баштанка,"вулиця Сергія Єфремова, буд. 6, Приморськ, 54152",+380 28 180-18-85,ustenkovolodymyr@example.org
Єрченко,Ганна,Миколаївна,Жіноча,1952-06-19,Актор,місто Хоростків,"проспект Канатний, буд. 808 кв. 99, Вовчанськ, 74404",358-59-16,oles83@example.com
Терещенко,Пилип,Сергійович,Чоловіча,1997-09-17,Золотар,хутір Зугрес,"шосе Чайкова, буд. 2, Житомир, 73746",+380 68 046-57-38,nfesenko@example.net
Охріменко,Франц,Петрович,Чоловіча,1962-07-10,Архітектор,селище Полтава,"набережна Хімічна, буд. 9, Городня, 50314",+380 31 383-83-87,valentyn85@example.net
Гузій,Анжела,Дмитрівна,Жіноча,1982-04-29,Професор,місто Щастя,"парк Рибальська, буд. 1, Каховка, 77884",+380 45 362 53 34,albina57@example.org
Деревʼянко,Єлисавета,Юріївна,Жіноча,1985-10-26,Кушнір,селище Кобеляки,"сквер Фабрична, буд. 0 кв. 4, Чортків, 06215",265-16-43,bandurkaborys@example.com
Стельмах,Микита,Володимирович,Чоловіча,1972-04-09,Льотчик,селище Макіївка,"шосе Слов'янська, буд. 75, Снятин, 70563",067 409 78 43,artemenkostepan@example.net
Кальченко,Пармен,Михайлович,Чоловіча,1985-05-01,Промисловець,селище Борщів,"набережна Паркова, буд. 65 кв. 476, Миргород, 76535",094 244 36 79,favramchuk@example.com
Короленко,Пармен,Михайлович,Чоловіча,2003-04-19,Медик,село Підгайці,"сквер Діхтієвського Віктора, буд. 7 кв. 625, Ізмаїл, 65501",231-04-51,klymentdrozdenko@example.net
Данченко,Мілена,Павлівна,Жіноча,1958-09-01,Режисер,хутір Нікополь,"сквер Новиков міст, буд. 443 кв. 67, Харцизьк, 19413",+380 76 515 52 97,allahrechko@example.net
Кальченко,Валентина,Євгенівна,Жіноча,1992-03-21,Головний меркшейдер,місто Нетішин,"площа Лазурського, буд. 7 кв. 0, Біла Церква, 94840",+380 (10) 154-69-75,rshvaika@example.net
Асаула,Ірина,Сергіївна,Жіноча,1963-10-10,Агроном,хутір Нове Давидково,"сквер Академічна, буд. 70, Хуст, 17486",+380 (72) 241-18-36,kazhazha@example.com
Смик,Аркадій,Петрович,Чоловіча,1987-11-06,Пекар,селище Луцьк,"проспект 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 87, Алчевськ, 17624",+380 (86) 369-63-02,iarema71@example.com
Самойленко,Марта,Юріївна,Жіноча,1984-07-26,Біолог,місто Яготин,"площа Студентський 3-й, буд. 2, Кодима, 77023",095 351-83-97,uudovenko@example.com
Архимович,Охрім,Павлович,Чоловіча,2003-04-22,Єгер,місто Шепетівка,"парк Зернова, буд. 9, Лозова, 49582",+380 08 796-01-95,tvasylashko@example.org
Бабій,Лесь,Михайлович,Чоловіча,1968-01-31,Геофізик,місто Хрестівка,"шосе Депутатський, буд. 29 кв. 31, Алчевськ, 29242",+380 61 907-34-35,vira86@example.com
Лупій,Демʼян,Степанович,Чоловіча,1970-02-05,Фольклорист,село Заставна,"вулиця Хортицька, буд. 670, Корець, 44404",+380 30 846 05 26,tetiana62@example.com
Оберемко,Орхип,Миколайович,Чоловіча,1963-11-29,Реставратор,хутір Христинівка,"парк Фруктова, буд. 73, Гайсин, 94693",+380 39 964 84 22,sviatoslava27@example.net
Пʼятаченко,Гордій,Павлович,Чоловіча,1955-08-27,Нотаріус,місто Рубіжне,"сквер Буджацька, буд. 158 кв. 883, Копичинці, 14010",+380 (16) 075-32-19,bohuslavabramchuk@example.com
Дерегус,Олекса,Володимирович,Чоловіча,1958-02-22,Паралегал,місто Сіверськ,"набережна Олександра Кутузакія, буд. 51, Лохвиця, 30239",790 44 18,iefremtovstukha@example.com
Червоненко,Олена,Михайлівна,Жіноча,1956-04-15,Парфюмер,село Ізяслав,"набережна Старорізнична, буд. 564, Житомир, 85176",+380 33 919 75 98,hermanieremenko@example.org
Ковалюк,Венедикт,Сергійович,Чоловіча,1966-09-24,Круп'є,хутір Костопіль,"сквер Садова 1-ша, буд. 14, Устилуг, 29765",006 545 38 48,amvrosiikhomenko@example.net
Комар,Володимир,Анатолійович,Чоловіча,1956-02-28,Слідчий,хутір Радивилів,"сквер Басейний 6-й, буд. 0 кв. 753, Сокиряни, 99396",+380 54 327 93 07,heorhii04@example.net
Артим,Феофан,Анатолійович,Чоловіча,2008-10-26,Мікробіолог,село Південне,"сквер Соляний 3-й, буд. 913, Бориспіль, 50299",752 13 12,svitlanazaika@example.org
Якимчук,Аврелій,Богданович,Чоловіча,2001-07-15,Кінолог,хутір Дебальцеве,"набережна Індійська, буд. 31, Докучаєвськ, 26453",669 20 93,vitrukopanas@example.net
Килимник,Марта,Олександрівна,Жіноча,1962-08-26,Патологоанатом,хутір Тисмениця,"набережна Болгарська, буд. 29, Вільнянськ, 30225",470 26 69,chabanboleslav@example.com
Нестеренко,Микита,Миколайович,Чоловіча,1954-05-24,Гінеколог,місто Новоазовськ,"сквер Балтський 4-й, буд. 8, Боково-Хрустальне, 14469",445-76-78,sviatoslavbakumenko@example.com
Худобʼяк,Марко,Іванович,Чоловіча,1996-10-12,Зоолог,хутір Брянка,"проспект Івана Вазова, буд. 797, Свалява, 97759",295 16 67,vitaliizabashta@example.com
Титаренко,Юхим,Петрович,Чоловіча,1984-07-21,Клавішник,хутір Вознесенськ,"шосе Путівна, буд. 75 кв. 6, Березне, 83350",098 148-80-12,viacheslav36@example.net
Шиян,Алла,Дмитрівна,Жіноча,1973-07-21,Реставратор,селище Немирів,"набережна Проектований 3-й, буд. 7, Чугуїв, 19198",+380 99 524-13-17,ivan45@example.com
Бабак,Арсен,Богданович,Чоловіча,1967-08-14,Продюсер,хутір Новоукраїнка,"шосе Пшенична, буд. 9, Березань, 50852",+380 96 077-97-81,vasylenkovadym@example.org
Чубай,Оксенія,Миколаївна,Жіноча,1981-06-04,Фармацевт,місто Єнакієве,"сквер Заводська 4-та, буд. 392, Почаїв, 17070",068 458 41 38,pavlodatsiuk@example.org
Закусило,Костянтин,Іванович,Чоловіча,1957-07-02,М'ясник,село Шаргород,"вулиця Чорноморський 2-й, буд. 7, Корець, 19034",+380 (08) 843-16-11,opanasiurchenko@example.net
Гайворонський,Демʼян,Васильович,Чоловіча,1965-07-12,Астроном,село Стебник,"сквер Сливова, буд. 30 кв. 31, Мелітополь, 77699",+380 90 986 04 99,qolifirenko@example.net
Негода,Пантелеймон,Тарасович,Чоловіча,1964-07-29,Агроном,селище Шепетівка,"набережна Окружна, буд. 952, Вижниця, 11236",086 884-67-31,abrahamovskahalyna@example.net
Данько,Августин,Анатолійович,Чоловіча,1974-12-14,Драматург,селище Київ,"набережна Савранський, буд. 1, Торецьк, 89119",+380 43 000-92-21,ffartushniak@example.com
Валенко,Пріска,Олександрівна,Жіноча,1969-05-12,Золотар,село Часів Яр,"площа Скліфосовського, буд. 25, Дубно, 98256",013 465 13 21,havryliukokseniia@example.org
Ейбоженко,Едита,Степанівна,Жіноча,1946-12-24,Мовознавець,хутір Дружківка,"узвіз Багрицького, буд. 7 кв. 2, Хорол, 62298",055 080 34 06,tetiana63@example.org
Короленко,Віктор,Миколайович,Чоловіча,1976-11-08,Фізик,місто Виноградів,"сквер Офіцерський 1-й, буд. 85, Золочів, 79291",+380 (36) 466-85-38,kabanenkomaksym@example.org
Дубенко,Роксолана,Романівна,Жіноча,1974-10-22,Модельєр,місто Брянка,"парк Ширяївський, буд. 2 кв. 90, Хутір-Михайлівський, 63705",098 667 73 36,bhohol@example.com
Годунок,Омелян,Васильович,Чоловіча,1961-06-11,Нотаріус,хутір Дергачі,"парк Іони Отаманського, буд. 330 кв. 9, Моспине, 34569",+380 84 925 93 24,petro08@example.com
Гузь,Ліза,Петрівна,Жіноча,1999-05-15,Льотчик,село Павлоград,"шосе Сім'ї Глодан, буд. 314 кв. 56, Амвросіївка, 96165",468 10 06,abramenkomaryna@example.com
Чарниш,Семен,Анатолійович,Чоловіча,1994-02-06,Модель,село Благовіщенське,"узвіз Адольфа Лози, буд. 31, Боярка, 59027",057 297 48 30,ohrechko@example.com
Оніщук,Борислав,Романович,Чоловіча,1996-10-25,Няня,хутір Маріуполь,"провулок 2-га Лінія Марії Демченко, буд. 426, Оріхів, 23208",014 994 49 17,izaruba@example.net
Яремчук,Яків,Миколайович,Чоловіча,2004-04-13,Хореограф,селище Новоград-Волинський,"провулок Асташкіна, буд. 09 кв. 69, Білопілля, 99050",012 294 02 37,marianapelekh@example.org
Байрак,Дан,Андрійович,Чоловіча,1950-03-07,Математик,хутір Тернопіль,"узвіз Ярослава Баїса, буд. 598 кв. 211, Лутугине, 79414",+380 60 879 99 09,verkhovynetsviktoriia@example.org
Башполченко,Галина,Миколаївна,Жіноча,1979-07-19,Хореограф,місто Заліщики,"вулиця Бреуса Якова, буд. 8 кв. 5, Хотин, 49025",+380 76 477-70-37,anita87@example.org
Фурс,Спас,Володимирович,Чоловіча,1982-06-26,Економіст,місто Гірське,"сквер Луценка Івана, буд. 0, Зугрес, 96321",+380 03 203-01-84,onysymmiroshnychenko@example.net
Вітер,Пріска,Сергіївна,Жіноча,1969-02-28,Парфюмер,місто Біляївка,"сквер Прорізний, буд. 8, Путивль, 56073",969-88-33,haidenkoievhen@example.net
Нестеренко,Златослава,Степанівна,Жіноча,2004-09-15,Намотувальник,село Коростишів,"провулок Буковинська, буд. 4 кв. 15, Вінниця, 34185",029 015-64-16,pushkartymofii@example.net
Чумак,Алевтин,Анатолійович,Чоловіча,1951-08-15,Няня,хутір Кропивницький,"площа Павла Вірського, буд. 41 кв. 5, Березне, 44563",+380 (36) 825-62-91,vasyl94@example.net
Туркало,Пріска,Олександрівна,Жіноча,1965-04-13,Акушер,селище Козятин,"сквер Соляний 1-й, буд. 2 кв. 812, Арциз, 83536",021 745-02-06,vladyslavkalchenko@example.org
Гаврилів,Орися,Володимирівна,Жіноча,1959-06-29,Державний службовець,хутір Сімферополь,"шосе Крайня, буд. 8 кв. 54, Нова Каховка, 55532",003 070-30-07,boleslav31@example.org
Мірошниченко,Марія,Андріївна,Жіноча,1974-01-08,Електромонтажник,селище Подільськ,"провулок Маловського, буд. 10, Помічна, 13649",008 128-71-50,viratsybulenko@example.org
Орлик,Людмила,Богданівна,Жіноча,2003-11-19,Юрист,місто Бориспіль,"сквер Студена, буд. 734, Чоп, 93471",+380 48 152-34-48,tereza51@example.org
Гузенко,Веніямин,Сергійович,Чоловіча,1995-01-28,Паблік рилейшнз,хутір Василівка,"узвіз Ніщинського Композитора, буд. 5 кв. 659, Старий Крим, 22396",834-16-45,roksolana37@example.com
Алексюк,Борислав,Тарасович,Чоловіча,1993-11-24,Реставратор,місто Шепетівка,"площа Сєрогодського, буд. 298, Рава-Руська, 11187",915-20-41,whaivoronskyi@example.com
Ірванець,Христина,Михайлівна,Жіноча,2001-08-25,Піаніст,селище Заставна,"сквер Ярмарковий, буд. 043 кв. 22, Бориспіль, 35815",091 158-78-58,amaliiakashchenko@example.com
Хоменко,Станіслав,Євгенович,Чоловіча,2006-08-25,Мистецтвознавець,селище Славута,"вулиця Газовий, буд. 14, Черкаси, 34052",544-27-52,iaroshkyrylo@example.com
Засуха,Наталія,Володимирівна,Жіноча,1950-02-02,Хімік,місто Рахів,"проспект Улицька, буд. 521, Вознесенівка, 96030",+380 38 037-43-05,darynachupryna@example.com
Заруба,Єфрем,Євгенович,Чоловіча,1954-09-26,Бізнесмен,селище Чуднів,"площа Діхтієвського Віктора, буд. 4, Гірське, 49284",024 840-16-94,dshakhrai@example.org
Шаблій,Валерій,Євгенович,Чоловіча,1970-06-09,Журналіст,місто Золоте,"набережна Подільська, буд. 47, Фастів, 19219",+380 86 013-54-72,bazylevskyiadam@example.net
Чорновіл,Ірена,Сергіївна,Жіноча,2011-12-19,Художник,хутір Горлівка,"вулиця Донорська, буд. 43 кв. 147, Нововолинськ, 85645",614 53 96,lespetryk@example.net
Кащенко,Альберт,Олександрович,Чоловіча,1955-09-15,Мікробіолог,село Золотоноша,"провулок Кривобалківська, буд. 9, Деражня, 51046",426 52 73,vdovychenkosviatoslav@example.net
Луценко,Ірина,Богданівна,Жіноча,1976-02-08,Антрополог,село Хирів,"шосе Рєпіна, буд. 649, Яворів, 21258",+380 01 400-83-43,artemenkotereza@example.com
Ґереґа,Єфрем,Михайлович,Чоловіча,1961-04-20,Кіноактор,село Кривий Ріг,"площа Мерло, буд. 55 кв. 694, Вознесенівка, 87993",589 86 67,zakhar10@example.com
Забіла,Златослава,Миколаївна,Жіноча,2008-06-29,Музикант,село Борзна,"набережна Городня, буд. 217 кв. 14, Рогатин, 08592",045 623-18-51,trokhym56@example.org
Ющенко,Леон,Дмитрович,Чоловіча,1990-05-02,Кінолог,хутір Рахів,"проспект Озерна, буд. 20, Щастя, 50310",494-70-36,ybabak@example.net
Цісик,Роман,Степанович,Чоловіча,1979-02-03,Пілот,місто Брянка,"сквер Урожайна, буд. 557 кв. 5, Любомль, 09832",+380 68 934-31-20,solomonmykhailychenko@example.net
Супруненко,Михайлина,Анатоліївна,Жіноча,2006-06-23,Випробувач,хутір Южне,"проспект Литавровий, буд. 6 кв. 7, Арциз, 88186",106 57 31,abramchuktymofii@example.org
Щербань,Зиновій,Васильович,Чоловіча,2000-09-04,Акушер,місто Полонне,"парк Лінія 33-тя, буд. 24 кв. 392, Кам'янка (Черкаська область), 03054",233 05 06,zlatoslava01@example.com
Хомик,Сніжана,Павлівна,Жіноча,1965-07-28,Професор,місто Іловайськ,"парк Маячний, буд. 192, Сіверськодонецьк, 47236",009 352 42 49,fvasylechko@example.com
Бабак,Леопольд,Петрович,Чоловіча,1965-11-10,Головний меркшейдер,місто Белз,"шосе Поштовий, буд. 772, Старий Крим, 46809",+380 84 342 25 96,somkorozaliia@example.net
Яременко,Леон,Дмитрович,Чоловіча,1973-09-27,Намотувальник,селище Рахів,"проспект Рибальська балка, буд. 98 кв. 5, Вознесенівка, 27674",+380 03 554-88-69,marianamazepa@example.com
Карась,Марта,Дмитрівна,Жіноча,1978-10-05,Електромонтажник,селище Городище,"площа Військово-морських сил, буд. 615, Жашків, 20935",+380 62 707-93-38,mteslenko@example.net
Бабʼяк,Владислав,Олександрович,Чоловіча,2007-08-07,Складальник,село Зіньків,"площа Митна, буд. 0, Коростишів, 69963",133-44-47,demianenkoborys@example.net
Лупій,Онисим,Дмитрович,Чоловіча,1975-12-16,Дерун,селище Лутугине,"набережна Танфільєва, буд. 3, Заставна, 20701",+380 18 951-49-48,vorobets@example.org
Опанасенко,Галина,Анатоліївна,Жіноча,1963-01-22,Вчитель,місто Охтирка,"провулок Шухевича Романа, буд. 67 кв. 236, Дніпро, 19484",+380 08 953 81 70,emiliiavovk@example.com
Шморгун,Богодар,Дмитрович,Чоловіча,1953-04-30,Фермер,місто Деражня,"узвіз Круговий, буд. 24, Турка, 28887",+380 87 436-09-29,ieva11@example.com
Деркач,Богодар,Сергійович,Чоловіча,1993-07-14,Дипломат,селище Великі Мости,"парк Рєпіна, буд. 28 кв. 4, Люботин, 54862",028 614 73 94,uskorobohatko@example.com
Зінкевич,Остап,Дмитрович,Чоловіча,1992-12-29,Кінорежисер,селище Харків,"узвіз Новаторів, буд. 61 кв. 4, Українка, 66833",+380 43 733-03-08,aiukhymenko@example.net
Сич,Станіслав,Григорович,Чоловіча,1984-04-18,Геофізик,селище Дубно,"проспект Привокзальна, буд. 527 кв. 6, Селидове, 93891",+380 78 991 71 14,leon88@example.com
Романчук,Ярема,Сергійович,Чоловіча,1964-11-20,Науковець,селище Амвросіївка,"сквер Усатівська, буд. 58, Копичинці, 69174",+380 26 725-06-69,hdemianiuk@example.org
Затовканюк,Тетяна,Андріївна,Жіноча,1948-03-25,Дипломат,село Дубляни,"сквер Левкоєва, буд. 5 кв. 085, Берислав, 88865",+380 (29) 050-74-90,nestorshvachka@example.com
Цушко,Златослава,Миколаївна,Жіноча,2001-12-13,Вчитель,село Звенигородка,"шосе Чорноморський 11-й, буд. 67, Новий Калинів, 48420",318-99-02,nzubko@example.com
Зубко,Варвара,Тарасівна,Жіноча,2006-08-14,Педагог,хутір Старокостянтинів,"узвіз Виставочна, буд. 928 кв. 4, Новий Розділ, 05138",+380 69 616-95-76,charnyshhordii@example.com
Бевзенко,Роман,Олександрович,Чоловіча,1967-05-20,Фізик,хутір Рені,"площа Квітнева, буд. 42, Івано-Франківськ, 99361",+380 07 848-08-96,taras44@example.net
Вобла,Мілена,Вікторівна,Жіноча,1972-10-14,Продюсер,місто Кам'янець-Подільський,"сквер Вернидуба, буд. 2, Світлодарськ, 68605",+380 22 268-74-74,ielyseibalaban@example.org
Бабариченко,Марко,Олександрович,Чоловіча,2011-12-23,Флорист,хутір Новгород-Сіверський,"провулок Андреєвського, буд. 6, Арциз, 73603",088 573-98-78,ieshchenkoomelian@example.org
Медведенко,Олекса,Михайлович,Чоловіча,1983-03-31,Слідчий,селище Кобеляки,"проспект Локомотивний 3-й, буд. 299 кв. 0, Горлівка, 97380",038 097-95-56,zhalilobohuslav@example.net
Кармалюк,Трохим,Володимирович,Чоловіча,1948-06-06,Провізор,село Бучач,"парк Бейтельсбахера, буд. 805, Кривий Ріг, 95724",+380 50 598-58-45,gudovenko@example.net
Батуринець,Веніямин,Вікторович,Чоловіча,1995-06-25,Фольклорист,місто Зугрес,"проспект Супутників, буд. 3 кв. 8, Рубіжне, 59459",011 231-17-64,zaporozhetsdavyd@example.net
Гайда,Христина,Іванівна,Жіноча,1953-01-05,Різноробочий,місто Южноукраїнськ,"сквер Хімічний 2-й, буд. 2, Прип'ять, 75448",+380 61 782-55-15,pavlosliusar@example.com
Рубан,Валентин,Миколайович,Чоловіча,1993-09-02,Різноробочий,селище Тиврів,"вулиця Академічна, буд. 376, Зугрес, 34271",166 92 66,volodymyrasimashkevych@example.net
Полтавець,Тимофій,Іванович,Чоловіча,2001-05-01,Пілот,хутір Деражня,"узвіз Сухолиманна, буд. 16, Бібрка, 40062",504-01-77,andriiovychdemyd@example.net
Конопля,Аркадій,Петрович,Чоловіча,2004-04-21,Нотаріус,село Виноградів,"сквер Проектуєма, буд. 38 кв. 4, Свалява, 11378",+380 63 162-84-28,zpetryk@example.com
Артимишин,Борис,Вікторович,Чоловіча,1980-06-10,Краєзнавець,хутір Кодима,"узвіз Зелена, буд. 7, Городенка, 26500",503 10 01,lizabaran@example.com
Артюх,Ростислав,Васильович,Чоловіча,1947-06-21,Ветеринар,село Кам'янка-Дніпровська,"набережна Чорноморський 9-й, буд. 80, Белз, 49752",077 831-16-52,pylyp96@example.net
Сімашкевич,Аліна,Юріївна,Жіноча,1975-06-28,Дипломат,селище Умань,"проспект Студентський 2-й, буд. 8 кв. 94, Одеса, 43069",+380 60 115 27 48,iashchenkoliza@example.net
Абрагамовська,Наталія,Василівна,Жіноча,1955-10-16,Лікар,місто Міусинськ,"площа Житомирська, буд. 815, Долина, 91405",728-78-00,prokhirzabashta@example.com
Чубай,Юстина,Богданівна,Жіноча,1958-08-23,Няня,хутір Устилуг,"узвіз Ліверпульський, буд. 54, Амвросіївка, 10263",938 52 92,pvakarchuk@example.org
Конопленко,Розалія,Олександрівна,Жіноча,1951-12-09,Палеонтолог,хутір Кременчук,"шосе Вокзальний, буд. 69 кв. 15, Перечин, 33536",+380 76 428-09-97,vitaliisliusar@example.org
Власюк,Святослава,Євгенівна,Жіноча,1986-10-28,Хореограф,місто Нетішин,"провулок Ширяївський, буд. 7, Чорноморськ, 37827",758 60 45,petrenkoiarema@example.org
Царенко,Климент,Васильович,Чоловіча,2008-04-10,Громадський діяч,місто Вашківці,"площа Привокзальний, буд. 103 кв. 837, Хоростків, 43600",+380 (21) 648-71-58,dannaiemets@example.org
Девдюк,Едита,Василівна,Жіноча,1988-03-04,Графік,хутір Турка,"сквер Хлібна гавань, буд. 888 кв. 76, Горлівка, 02967",017 932 63 53,azarzatovkaniuk@example.org
Корпанюк,Орися,Вікторівна,Жіноча,2009-03-05,Громадський діяч,місто Баштанка,"провулок Чернишевського, буд. 28, Вугледар, 07528",382-50-48,lukiandanylenko@example.net
Гайворонська,Богуслава,Євгенівна,Жіноча,1968-12-05,Піаніст,хутір Переяслав,"сквер Академіка Філатова, буд. 057, Андрушівка, 78208",708 30 96,symonpalii@example.org
Терещенко,Ірина,Анатоліївна,Жіноча,1996-07-11,Літературознавець,селище Винники,"набережна Бондарна, буд. 51 кв. 55, Мостиська, 31546",+380 54 191 74 10,stuseduard@example.net
Піддубний,Владислав,Степанович,Чоловіча,2008-02-11,Випробувач,селище Ізмаїл,"узвіз Осипова, буд. 58 кв. 00, Вилкове, 22912",076 264 32 51,roksolanaderevianko@example.org
Оліфіренко,Пармен,Іванович,Чоловіча,1992-01-14,Антрополог,місто Олександрівськ,"шосе Ольвійська, буд. 1 кв. 1, Новий Розділ, 54125",+380 01 956-63-00,larysatereshchenko@example.com
Вдовенко,Мартин,Сергійович,Чоловіча,1972-11-03,Диригент,місто Великі Мости,"вулиця Агрономічна, буд. 9 кв. 43, Інкерман, 25792",+380 (90) 399-72-32,dzubko@example.net
Бабʼюк,Остап,Павлович,Чоловіча,1966-01-24,Астронавт,село Малин,"набережна Романтичний, буд. 967 кв. 8, Умань, 56958",+380 01 553 15 18,avhustyn73@example.org
Товстуха,Ярослава,Миколаївна,Жіноча,1972-12-30,Мовознавець,селище Нова Каховка,"шосе Восьмого березня 1-й, буд. 3, Ічня, 41182",+380 26 520 01 06,davydstelmakh@example.com
Шаблій,Леонтій,Володимирович,Чоловіча,1988-10-12,Електротехнік,селище Миргород,"сквер Іспанський, буд. 9, Рогатин, 55248",861 12 19,bohuslav99@example.com
Гузенко,Леонтій,Юрійович,Чоловіча,1958-10-21,Прокурор,селище Бобринець,"площа Героїв прикордонників, буд. 99 кв. 17, Надвірна, 62489",558-22-92,omykhaliuk@example.org
Шаповал,Вадим,Степанович,Чоловіча,1953-09-19,Фрілансер,селище Вишневе,"провулок Світлий, буд. 3, Чугуїв, 98187",+380 52 542-37-31,leon56@example.net
Нестайко,Валентин,Тарасович,Чоловіча,1990-01-08,Ботанік,селище Львів,"шосе Костанді 2-й, буд. 9 кв. 3, Вугледар, 39021",333-18-86,zaichenkohavrylo@example.net
Дубас,Надія,Іванівна,Жіноча,1972-01-17,Державний службовець,селище Севастополь,"площа Тюльпанний, буд. 928, Марганець, 59201",+380 51 549 75 52,solomiiaiushchenko@example.com
Василенко,Лукʼян,Олександрович,Чоловіча,1965-10-16,М'ясник,селище Кобеляки,"парк Прибережний, буд. 292 кв. 6, Бахмач, 40501",+380 (39) 941-34-97,priska10@example.com
Акуленко,Софія,Андріївна,Жіноча,1958-05-28,Пекар,місто Ірпінь,"вулиця Туристський, буд. 2 кв. 558, Тлумач, 84319",+380 76 210-86-47,volodymyrasatsiuk@example.com
Рябченко,Христина,Петрівна,Жіноча,2010-12-16,Реабілітолог,селище Мостиська,"вулиця Херсонський сквер, буд. 783, Шахтарськ, 65558",041 163 43 74,veresdemyd@example.org
Артим,Євген,Вікторович,Чоловіча,1954-11-27,Бухгалтер,місто Ялта,"вулиця Камишова, буд. 302 кв. 54, Слов'янськ, 07126",056 56 84,babenkoiaryna@example.net
Терещук,Давид,Григорович,Чоловіча,1960-01-22,Модельєр,село Новоград-Волинський,"сквер Лінія 47-ма, буд. 51, Моспине, 63161",+380 (26) 607-67-43,zlatoslava12@example.org
Черінько,Марія,Сергіївна,Жіноча,1963-10-14,Палеонтолог,місто Полонне,"вулиця Лавкова, буд. 218, Київ, 32715",393-91-08,jadamchuk@example.org
Данилюк,Володимир,Богданович,Чоловіча,2003-04-19,Агроном,місто Луганськ,"шосе Дмитра Годзенка, буд. 87 кв. 233, Вишгород, 64499",053 357-08-98,bohuslavcharnysh@example.net
Юхименко,Степан,Тарасович,Чоловіча,1982-07-31,Професор,село Часів Яр,"вулиця Елеваторна, буд. 775 кв. 8, Калуш, 65687",024 626 31 02,baidaktaras@example.org
Лисенко,Олена,Миколаївна,Жіноча,1948-01-09,Програміст,хутір Глухів,"набережна Луцька, буд. 805 кв. 725, Хрустальний, 22114",084 334-28-52,batihbohuslav@example.com
Дубас,Надія,Василівна,Жіноча,1965-07-16,Письменник,село Алмазна,"проспект Текстильників, буд. 75 кв. 5, Рожище, 07067",074 190 26 93,tsymbalonysym@example.com
Заїка,Степан,Павлович,Чоловіча,1964-09-15,Музичний редактор,селище Верхньодніпровськ,"набережна Академіка Корольова, буд. 04, Глобине, 12507",+380 (31) 142-01-09,ustym94@example.org
Теличенко,Одарка,Романівна,Жіноча,1980-06-30,Режисер,місто Вуглегірськ,"шосе Подільська, буд. 48 кв. 66, Ланівці, 74786",034 428 25 38,davyd46@example.net
Терещук,Нестор,Сергійович,Чоловіча,1953-06-19,Драматург,селище Миколаївка,"набережна Кладовищний, буд. 9 кв. 917, Олевськ, 28275",618-02-58,viktoriiaieremenko@example.com
Приймак,Роман,Степанович,Чоловіча,1972-08-20,Вчитель,місто Саки,"набережна Сортувальна 1-ша, буд. 250, Боково-Хрустальне, 14433",+380 80 618-97-05,masokhavira@example.org
Штокало,Ігнат,Дмитрович,Чоловіча,1984-11-30,Астронавт,місто Рожище,"площа Шовкуненка, буд. 0, Христинівка, 62325",013 136 18 19,dubenkoliliia@example.net
Баран,Єфрем,Вікторович,Чоловіча,1992-09-13,Ветеринар,хутір Суходільськ,"набережна Бокаріуса, буд. 4, Златопіль, 13853",059 503-32-98,adabaranets@example.net
Цибуленко,Лукʼян,Григорович,Чоловіча,1969-01-11,Професор,село Новий Розділ,"набережна Чорноморський 5-й, буд. 6, Родинське, 57253",019 017 37 89,solomiia62@example.org
Байдак,Геннадій,Євгенович,Чоловіча,2007-01-11,Євнух,село Каховка,"площа Степова, буд. 2, Генічеськ, 94672",+380 08 143 78 08,wartym@example.com
Верес,Софія,Михайлівна,Жіноча,1956-08-09,Конструктор,село Миргород,"площа Чорноморський 11-й, буд. 0, Довжанськ, 01914",+380 70 130 15 25,rdrozdenko@example.net
Швачка,Емілія,Дмитрівна,Жіноча,1946-10-09,Реставратор,місто Балта,"вулиця Бодаревського, буд. 24, Виноградів, 35743",+380 63 426 76 43,trokhymilienko@example.org
Тимченко,Юхим,Анатолійович,Чоловіча,1992-01-15,Науковець,хутір Батурин,"вулиця Український 2-й, буд. 4, Кагарлик, 66373",+380 (31) 904-64-09,zbazavluchenko@example.org
Александренко,Лукʼян,Степанович,Чоловіча,1985-08-02,Зоолог,село Коломия,"провулок Бодаревського, буд. 7 кв. 629, Херсон, 94435",091 546-46-86,leopold50@example.net
Пушкар,Болеслав,Богданович,Чоловіча,1987-12-21,Лікар,селище Жданівка,"сквер Семена Яхненка, буд. 65, Кропивницький, 07429",011-28-25,piaremkiv@example.com
Даньків,Валерій,Володимирович,Чоловіча,1952-08-15,Мовознавець,село Молочанськ,"шосе Львівський, буд. 90, Вознесенськ, 43730",+380 33 870-56-71,solomonorlyk@example.net
Барабаш,Ірена,Юріївна,Жіноча,1948-08-28,Фольклорист,село Енергодар,"проспект Михайла Грушевського, буд. 19, Шаргород, 49319",678-00-26,panastsymbaliuk@example.com
